code,name,description,unit_code,unit_name,unit_sigla,is_active
60029000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
60031000,De lana o pelo fino,De lana o pelo fino,6,KILOGRAMO NETO,KN,true
60032000,De algodón,De algodón,6,KILOGRAMO NETO,KN,true
60033000,De fibras sintéticas,De fibras sintéticas,6,KILOGRAMO NETO,KN,true
60034000,De fibras artificiales,De fibras artificiales,6,KILOGRAMO NETO,KN,true
60039000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
60041000,"Con un contenido de hilados de elastómeros superior o igual al 5 % en peso, sin hilos de caucho","Con un contenido de hilados de elastómeros superior o igual al 5 % en peso, sin hilos de caucho",6,KILOGRAMO NETO,KN,true
60049000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
60052100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60052200,Teñidos,Teñidos,6,KILOGRAMO NETO,KN,true
60052300,Con hilados de distintos colores,Con hilados de distintos colores,6,KILOGRAMO NETO,KN,true
60052400,Estampados,Estampados,6,KILOGRAMO NETO,KN,true
60053100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60053210,Mallas de tejido (sombreadoras),Mallas de tejido (sombreadoras),6,KILOGRAMO NETO,KN,true
60053290,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
60053310,Mallas de tejido (sombreadoras),Mallas de tejido (sombreadoras),6,KILOGRAMO NETO,KN,true
60053390,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
60053400,Estampados,Estampados,6,KILOGRAMO NETO,KN,true
60054100,Crudos o blanqueados,Crudos o blanqueados,6,KILOGRAMO NETO,KN,true
60054200,Teñidos,Teñidos,6,KILOGRAMO NETO,KN,true
60054300,Con hilados de distintos colores,Con hilados de distintos colores,6,KILOGRAMO NETO,KN,true
60054400,Estampados,Estampados,6,KILOGRAMO NETO,KN,true
60059000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
